company,annual_report,400_owners_index,sustainable_development_present,responsible_investment_esg_present,green_growth_present,net_zero_present,decarbonization_present,transition_finance_present,conservation_finance_present,lang_report,country,assets,validation
Brunel Pension Partnership,Brunel-2023,50,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,English,UK,44,0
BP Pension UK,NA,51,,,,,,,,NA,UK,43,0
Royal Bank of Scotland Group,RBS-Annual-Report-2023,52,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,English,UK,43,0
BVK Personalvorsorge des Kantons Zürich,BVK-Zürich-Annual-Report-2023,53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,German,Switzerland,42,1
The Pension Protection Fund,PPF-Annual-Report-2023,54,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,UK,41,0
HSBC Bank Pension Trust UK,HSBC-Annual-Report-2023,55,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,English,UK,41,0
Pensioenfonds Detailhandel,Pensioenfonds-Detailhandel-Annual-Report-2023,56,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Dutch,Netherlands,37,1
BVV Pension Fund,BVV-Annual-Report-2023,57,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,German,Germany,37,0
National Employment Savings Trust (NEST),NEST-Annual-Report-2023,58,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,English,UK,37,1
Folketrygdfondet - Government Pension Fund Norway Domestic,NA,59,,,,,,,,NA,Norway,37,0
Greater Manchester Pension Fund,GMPF-Annual-Report-2023,60,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,English,UK,36,0
Velliv,Velliv-Annual-Report-2023,61,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,English,Denmark,36,0
Strathclyde Pension Funds,Strathclyde-Annual-Report-2023,62,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,English,UK,35,0
Industriens Pension Fund,Industriens-Annual-Report-2023,63,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,English,Denmark,35,0
Barclays Bank UK Retirement Fund,Barclays-Pension-Annual-Report-2023,64,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,English,UK,34,0
UBS Pension Fund,UBP-Annual-Report-2023,65,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,English,Switzerland,34,0
London CIV - Collective Investment Vehicle,LCIV-Annual-Report-2023,66,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,English,UK,34,0
Local Government Pension Scheme (LGPS Central),LGPS-Annual-Report-2023,67,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,English,UK,33,0
Retraites Populaires,Retraites-Annual-Report-2023,68,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,French,Switzerland,33,0
PGB Pension Fund/Pensioenfonds PGB,PGB-Annual-Report-2023,69,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Dutch,Netherlands,33,0
Migros-Pensionskasse,Migros-Pensionskasse-Annual-Report-2023,70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,German,Switzerland,32,1
Elo Mutual Pension Insurance Company,NA,71,,,,,,,,NA,Finland,31,0
Pensioenfonds Vervoer,Pensioenfonds-Vervoer-Annual-Report-2023,72,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Dutch,Netherlands,31,0
Local Pensions Partnership Investments (LPPI),LPPI-Annual-Report-2023,73,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,English,UK,31,0
BAE Systems Pension Fund,NA,74,,,,,,,,NA,UK,29,0
Siemens,Siemens-Annual-Report-2023,75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Germany,29,1
ING Pensioenfonds,ING-Annual-Report-2023,76,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Dutch,Netherlands,29,0
ABN AMRO Pensioenfonds,ABN-Annual-Report-2023,77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dutch,Netherlands,28,1
Asga Pensionskasse,ASGA-Annual-Report-2023,78,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,German,Switzerland,28,0
Schweizer Mobiliar Asset Management AG,NA,79,,,,,,,,NA,Switzerland,28,0
British Airways Pension Investment Management Ltd (BAPIML),British-Airways-Annual-Report-2023,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,UK,27,0
Bundes Pensionskasse,Bundes-Pensionskasse-Annual-Report-2023,81,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,German,Austria,27,0
Kenfo (German Nuclear Waste Management Fund),KENFO-Annual-Report-2024,82,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,German,Germany,27,0
Rabobank Pensioenfonds,Rabobank-Annual-Report-2023,83,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Dutch,Netherlands,26,0
West Midlands Metropolitan,WMM-Annual-Report-2023,84,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English,UK,26,0
AP Pension,AP-Annual-Report-2023,85,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Danish,Denmark,25,0
FEFSS,FEFFS-Annual-Report-2023,86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Portuguese,Portugal,25,1
KPA Pension (KPA Pensionsförsäkring),KPA-Annual-Report-2023,87,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Swedish,Sweden,25,0
Pension Fund Rail & Public Transport,Pension-Fund-Rail-Public-Transport-Annual-Report-2023,88,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Dutch,Netherlands,25,0
State Pension Fund of Finland (VER),NA,89,,,,,,,,NA,Finland,24,0
Fonds de Compensation de la Sécurité Sociale,Fonds-De-Compensation-Annual-Report-2023,90,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Luxembourg,24,0
Local Pensions Partnership,LPP-Annual-Report-2023,91,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,UK,24,0
Fonds de réserve pour les retraites (FRR),FRR-Annual-Report-2023,92,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,English,France,24,0
Caisse de prévoyance de l'Etat de Genève (CPEG),CPEG-Annual-Report-2023,93,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,French,Switzerland,24,0
Akademiker Pension,Akademiker-Pension-Annual-Report-2023,94,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Danish,Denmark,23,0
Pensionskasse of the city of Zurich (PKZH),PKZH-Annual-Report-2023,95,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,German,Switzerland,23,0
BPL Pensioen,BBL-Annual-Report-2023,96,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Dutch,Netherlands,23,0
West Yorkshire Pension Fund,WYPF-Annual-Report-2023,97,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,UK,22,0
Lærernes Pension,Laerernes-Pension-Annual-Report-2023,98,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Danish,Denmark,22,0
P+ (Pension Fund for Academics),P-Plus-Annual-Report-2023,99,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Danish,Denmark,21,0
ENPAM,ENPAM-Annual-Report-2023,100,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Italian,Italy,21,0
Shell UK,Shell-UK-Annual-Report-2023,101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,UK,20,1
Philips Pensioenfonds,Philips-Pensioenfonds-Annual-Report-2023,102,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Dutch,Netherlands,20,0
Credit Suisse Pensionskasse,Credit-Suisse-Pensionskasse-Annual-Report-2023,103,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,English,Switzerland,20,0
Hoffmann La Roche,NA,104,,,,,,,,NA,Switzerland,20,0
SBB Pensionskasse,SBB-Pensionskasse-Annual-Report-2023,105,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Switzerland,20,0
PK Post,PK-Post-Annual-Report-2023,106,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,German,Switzerland,19,0
National Treasury Management Agency,NTMA-Annual-Report-2023,107,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,English,Ireland,19,0
Pensioenfonds Metaal OFP,Pensioenfonds-Metaal-OFP-2023,108,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Dutch,Belgium,19,0
TfL Pension,TfL-Annual-Report-2023,109,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,English,UK,18,0
BBC Pension Scheme,BBC-Pension-Scheme-Annual-Report-2023,110,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,English,UK,18,0
National Grid,Annual_Report_and_Accounts_2023_24_0,111,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,English,UK,18,0
Bernische Pensionskasse (Kanton Bern),BPK-Annual-Report-2023,112,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,German,Switzerland,17,0
CPEV - Caisse de Pension l'Etat de Vaud,CPEV-Annual-Report-2023,113,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,French,Switzerland,17,0
Laegernes Pensionskasse,LPB-Annual-Report-2023,114,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Danish,Denmark,17,0
Pensionskasse Basel-Stadt,PKBS-Annual-Report-2023,115,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,German,Switzerland,17,0
Tesco Pensions Investment,Tesco-Annual-Report-2023,116,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,UK,16,0
Vasakronan,Vasakronan-Annual-Report-2023,117,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,English,Sweden,16,0
Pension Fund for Early Childhood and Youth Educators (Paedagogernes Pension),PBU-Annual-Report-2023,118,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Danish,Denmark,15,0
Univest Company (Unilever),Univest-Annual-Report-2023,119,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,English,UK,14,0
Monetary Authority of Singapore,MAS_Sustainability_Report_2023_2024,120,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,English,Singapore,5410,0
Government Pension Investment Fund,GPIF-Annual-Report-2023,121,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,English,Japan,1645,0
China Investment Corporation,CIC-Annual-Report-2023,122,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,English,China,1333,0
State Administration of Foreign Exchange,SAFE-Annual-report-2023,123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,China,1098,1
TIAA,TIAA-Annual-Report-2023,124,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,English,USA,1061,0
Abu Dhabi Investment Authority ,ADIA-Annual-Review-2023,125,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,English,UAE,968,0
Public Investment Fund/Sanabil Investments (PIF),NA,126,,,,,,,,NA,Saudi Arabia,925,0
Kuwait Investment Authority,NA,127,,,,,,,,NA,Kuwait,923,0
Pension Fund Association for Local Government Officials (Chikyoren),NA,128,,,,,,,,NA,Japan,922,0
Government of Singapore Investment Corporation,GIC-Annual-Report-2023,129,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,English,Singapore,880,0
National Council for Society Security Fund,NA,130,,,,,,,,NA,China,846,0
Federal Retirement Thrift Investment Board,NA,131,,,,,,,,NA,USA,845,0
Korea National Pension Service,NPS-Report-2023,132,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,South Korea,756,0
Hong Kong Monetary Authority,HKMA-Annual-Report-2023,133,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,English,Hong Kong,538,0
Qatar Investment Authority,NA,134,,,,,,,,NA,Qatar,526,0
International Monetary Fund,IMF-Annual-Report-2023,135,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,USA,514,0
California Public Employees Retirement System,NA,136,,,,,,,,NA,USA,503,0
Saudia Arabian Monetary Authority ,SAMA-Annual-Report-2023,137,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,English,Saudi Arabia,486,0
Canada Pension Plan Investment Board,CPP-Annual-Report-2023,138,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,English,Canada,470,0
Central Provident Fund ,CPFB-Annual-Report-2023,139,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,English,Singapore,437,0
Investment Corporation of Dubai,ICD-Annual-Report-2023,140,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,English,UAE,360,0
California State Teachers Retirement System,NA,141,,,,,,,,NA,USA,347,0
First Abu Dhabi Bank,FAB-Annual-Report-2023,142,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,English,UAE,318,0
Caisse de Depot et Placement du Quebec,CDPQ-Annual-Report-2023,143,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,English,Canada,316,0
Mubadala,mubadala-annual-report-2023,144,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,English,UAE,309,0
Temasek holdings,Temasek-Review-2023-Highlights,145,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,English,Singapore,295,0
NYC Office of the Comptroller,NA,146,,,,,,,,NA,USA,282,0
New York State Common Retirement Fund,NA,147,,,,,,,,NA,USA,268,0
Florida State Board of Administration,FSBA-Annual-Report-2023,148,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,260,1
Employees Provident Fund,EPFM-Annual-Report-2023,149,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,English,Malaysia,235,0
AustralianSuper,Australian-Super-Annual-Report-2023,150,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Australia,230,0
Teacher Retirement System of Texas,NA,151,,,,,,,,NA,USA,211,0
Washington State Investment Board,WSIB-Annual-Report-2023,152,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,205,0
Australian Retirement Trust,ART-Annual-Report-2023,153,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,English,Australia,203,0
Labor Pension Fund Taiwan,NA,154,,,,,,,,NA,Taiwan,202,0
Abu Dhabi Developmental Holding,ADQ-5-Year-Report-2023,155,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,English,UAE,196,0
Future Fund,Future-Fund-Year-In-Review-2023,156,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,English,Australia,194,0
Public Sector Pension Investment Board,PSPIB-Annual-Report-2023,157,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,Canada,191,1
Korea Investment Corporation,KIC-Annual-Report-2023-organised,158,,,,,,,,South-Korean,South Korea,189,0
Ontario Teachers' Pension Plan,OTPP-Annual-Report-2023,159,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,English,Canada,184,0
British Columbia Investment Management Corporation,BCI-Annual-Report-2023,160,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Canada,182,0
University of California Office of the Regents,UC-Annual-Report-2023,161,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,180,0
Employee's Provident Fund Organisation India,EPFI-Annual-Report-2023,162,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,India,176,1
North Carolina Retirement Systems,NA,163,,,,,,,,NA,USA,171,0
Texas Treasury Safekeeping Trust,NA,164,,,,,,,,NA,USA,165,0
Public Investment Corporation,PIC-Annual-Integrated-Report-2023,165,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,South Africa,152,0
National Wealth Fund,NA,166,,,,,,,,NA,Russia,148,0
Minnesota State Board of Investment,MSBI-Annual-Report-2023,167,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,English,USA,146,0
New York State Teachers' Retirement Fund,NYSTRF-Annual-Report-2023,168,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,146,1
State of Wisconsin Investment Board,SWIB-Annual-Report-2023,169,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,132,1
National Development Fund (IRN),NA,170,,,,,,,,NA,Iran,132,0
National Development Fund (SAU),NA,171,,,,,,,,NA,Saudi Arabia,132,0
Public Institute for Social Security,NA,172,,,,,,,,NA,Kuwait,132,0
Pension Benefit Guaranty Corporation,pbgc-annual-report-2023,173,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,128,1
Government Employees Pension Fund,GEPF-Annual-Report-2023,174,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,South Africa,122,0
Aware Super,Aware-Super-Annual-Report-2023,175,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,English,Australia,120,0
AIMco,AIMco-Annual-Report-2023,176,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,English,Canada,118,0
Ohio Public Employees Retirement System,OPERSO-Annual-Comprehensive-Report-2023,177,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,115,1
New York City Teachers' Retirement System,TRSNYC-Annual-Comprehensive-Report-2023,178,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,113,1
Michigan State Retirement System,MSRS-Annual-Report-2023,179,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,108,1
Teachers Retirement System of Georgia,TRSG-Annual-Comprehensive-Report-2023,180,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,106,1
Virgina Retirement System,NA,181,,,,,,,,NA,USA,106,0
Massachusetts PRIM,Mass-PRIM-Annual-Comprehensive-Report-2023,182,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,104,0
Tennessee Department of Treasury,TDT-Annual-Report-2023,183,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,99,1
Amitim,Mivtachim-Annual-actuarial-reports-2023,184,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hebrew,Israel,98,1
United Nations Joint Staff Pension Fund,UNJSPF-Annual-Report-2023,185,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English,USA,97,0
Ontario Municipal Employees' Retirement System,OMERS-Annual-Report-2023,186,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,English,Canada,96,0
State Teachers Retirement System of Ohio,STRSOH-Annual-Comprehensive-Report-2023,187,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,95,1
Oregon Public Employees Retirement System,OPERS-Annual-Comprehensive-Report-2023,188,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,94,1
UniSuper,Uni-Super-Fund-Annual-Report-2023,189,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Australia,92,1
Kaiser Permanente,Kaiser-Permanente-Annual-Report-2023,190,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,English,USA,92,0
RTX,RTX-Annual-Report-2023,191,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,English,USA,89,0
Raytheon Technologies Pension,NA,192,,,,,,,,NA,USA,89,0
Pension Fund Association,PFA-Annual-Report-2023,193,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Japan,89,1
Retraite Quebec,Retraite-Quebec-Annual-Report-2023,194,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,French,Canada,87,0
Emirates Investment Authority ,EIA-Inaugural-Report,195,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,UAE,86,1
RGA Reinsurance Company,RGA-Annual-Report-2023,196,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,85,1
World Bank,World-Bank-Annual-Report-2023,197,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,English,USA,82,0
Healthcare of Ontario Pension Plan,HOOP-Annual-Report-2023,198,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,Canada,82,0
