company,annual_report,400_owners_index,sustainable_development_present,responsible_investment_esg_present,green_growth_present,net_zero_present,decarbonization_present,transition_finance_present,conservation_finance_present,lang_report,country,assets,validation,cosine_similarity_best,matched_company_in_memberships,membership_1,type_1,membership_2,type_2,membership_3,type_3,membership_4,type_4,membership_5,type_5,membership_6,type_6,membership_7,type_7,membership_8,type_8
Local Government Pension Scheme (LGPS Central),LGPS-Annual-Report-2023,67,False,True,False,False,True,False,False,English,UK,33.0,0,0.6120512233484512,LGPS Central,,,,,,,,,,,,,,,,
Retraites Populaires,Retraites-Annual-Report-2023,68,True,True,False,False,True,True,False,French,Switzerland,33.0,0,0.8576770350774782,Retraites Populaires Switzerland,,,,,,,,,,,,,,,,
PGB Pension Fund/Pensioenfonds PGB,PGB-Annual-Report-2023,69,True,True,False,False,False,False,False,Dutch,Netherlands,33.0,0,0.9120912120033979,Pensioenfonds PGB,CA100+,Climate change,,,,,,,,,,,,,,
Migros-Pensionskasse,Migros-Pensionskasse-Annual-Report-2023,70,False,False,False,False,False,False,False,German,Switzerland,32.0,1,0.5699952713830375,APK Pensionskasse AG,,,,,,,,,,,,,,,,
Elo Mutual Pension Insurance Company,,71,,,,,,,,,Finland,31.0,0,1.0,Elo Mutual Pension Insurance Company,UNPRI,General,CA100+,Climate change,Paris Aligned Asset Owners,Climate Change,Montreal Carbon Pledge,,Institutional Investor Group on Climate Change,Climate,,,,,,
Pensioenfonds Vervoer,Pensioenfonds-Vervoer-Annual-Report-2023,72,False,True,False,False,True,True,False,Dutch,Netherlands,31.0,0,1.0000000000000002,Pensioenfonds Vervoer,UNPRI,General,,,,,,,,,,,,,,
Local Pensions Partnership Investments (LPPI),LPPI-Annual-Report-2023,73,True,True,True,True,False,False,False,English,UK,31.0,0,0.8626255557447938,Local Pensions Partnership Investments,,,,,,,,,,,,,,,,
BAE Systems Pension Fund,,74,,,,,,,,,UK,29.0,0,0.8015389418288698,BAE Systems Pension Scheme,,,,,,,,,,,,,,,,
Siemens,Siemens-Annual-Report-2023,75,False,False,False,False,False,False,False,English,Germany,29.0,1,0.8052596755828914,Siemens Fonds Invest GmbH,,,,,,,,,,,,,,,,
ING Pensioenfonds,ING-Annual-Report-2023,76,False,True,False,False,False,False,False,Dutch,Netherlands,29.0,0,0.7781945900847672,Stichting Pensioenfonds ING,,,,,,,,,,,,,,,,
ABN AMRO Pensioenfonds,ABN-Annual-Report-2023,77,True,True,False,False,True,False,False,Dutch,Netherlands,28.0,1,0.763021482597179,Stichting Pensioenfonds van de ABN AMRO Bank N.V.,,,,,,,,,,,,,,,,
Asga Pensionskasse,ASGA-Annual-Report-2023,78,False,True,False,False,True,False,False,German,Switzerland,28.0,0,0.6265302297350354,APK Pensionskasse AG,,,,,,,,,,,,,,,,
Schweizer Mobiliar Asset Management AG,,79,,,,,,,,,Switzerland,28.0,0,0.637601765498988,Swiss Mobiliar Asset Management Ltd.,,,,,,,,,,,,,,,,
British Airways Pension Investment Management Ltd (BAPIML),British-Airways-Annual-Report-2023,80,True,False,False,False,False,False,False,English,UK,27.0,0,0.43681966463710803,British Columbia Investment Management Corporation,,,,,,,,,,,,,,,,
Bundes Pensionskasse,Bundes-Pensionskasse-Annual-Report-2023,81,False,True,False,False,True,False,False,German,Austria,27.0,0,0.81075770851456,Pensionskasse des Bundes PUBLICA,,,,,,,,,,,,,,,,
Kenfo (German Nuclear Waste Management Fund),KENFO-Annual-Report-2024,82,False,True,False,False,True,False,False,German,Germany,27.0,0,0.4366307582002122,KENFO,,,,,,,,,,,,,,,,
Rabobank Pensioenfonds,Rabobank-Annual-Report-2023,83,False,True,False,False,False,False,False,Dutch,Netherlands,26.0,0,1.0000000000000002,Rabobank Pensioenfonds,UNPRI,General,CA100+,Climate change,,,,,,,,,,,,
West Midlands Metropolitan,WMM-Annual-Report-2023,84,True,True,True,True,True,True,True,English,UK,26.0,0,0.577059864919846,West Midlands Pension Fund,,,,,,,,,,,,,,,,
AP Pension,AP-Annual-Report-2023,85,True,True,False,True,True,True,False,Danish,Denmark,25.0,0,1.0000000000000002,AP Pension,UNPRI,General,CA100+,Climate change,Paris Aligned Asset Owners,Climate Change,Institutional Investor Group on Climate Change,Climate,,,,,,,,
FEFSS,FEFFS-Annual-Report-2023,86,False,False,False,False,False,False,False,Portuguese,Portugal,25.0,1,0.0612175237857432,USS,,,,,,,,,,,,,,,,
KPA Pension (KPA Pensionsförsäkring),KPA-Annual-Report-2023,87,True,True,False,True,True,False,False,Swedish,Sweden,25.0,0,0.4700563822127852,"Alecta pensionsförsäkring, ömsesidigt",,,,,,,,,,,,,,,,
Pension Fund Rail & Public Transport,Pension-Fund-Rail-Public-Transport-Annual-Report-2023,88,True,True,True,True,True,False,False,Dutch,Netherlands,25.0,0,0.6473410339997105,Transport for London Pension Fund,,,,,,,,,,,,,,,,
State Pension Fund of Finland (VER),,89,,,,,,,,,Finland,24.0,0,0.6551912412862443,The Church Pension Fund (Finland),,,,,,,,,,,,,,,,
Fonds de Compensation de la Sécurité Sociale,Fonds-De-Compensation-Annual-Report-2023,90,False,True,False,False,False,False,False,English,Luxembourg,24.0,0,0.45168072563463196,Accident Compensation Corporation,,,,,,,,,,,,,,,,
Local Pensions Partnership,LPP-Annual-Report-2023,91,True,True,False,True,True,False,False,English,UK,24.0,0,1.0,Local Pensions Partnership,UNPRI,General,CA100+,Climate change,,,,,,,,,,,,
Fonds de réserve pour les retraites (FRR),FRR-Annual-Report-2023,92,True,True,False,True,True,True,False,English,France,24.0,0,1.0000000000000007,Fonds de réserve pour les retraites - FRR,UNPRI,General,Institutional Investor Group on Climate Change,Climate,Montreal Carbon Pledge,,,,,,,,,,,
Caisse de prévoyance de l'Etat de Genève (CPEG),CPEG-Annual-Report-2023,93,False,True,False,False,True,False,False,French,Switzerland,24.0,0,1.0000000000000002,Caisse de prévoyance de l'Etat de Genève (CPEG),UNPRI,General,,,,,,,,,,,,,,
Akademiker Pension,Akademiker-Pension-Annual-Report-2023,94,False,True,True,False,False,False,False,Danish,Denmark,23.0,0,1.0,Akademiker Pension,CA100+,Climate change,FAIRR,General,,,,,,,,,,,,
Pensionskasse of the city of Zurich (PKZH),PKZH-Annual-Report-2023,95,True,True,False,False,False,False,False,German,Switzerland,23.0,0,0.8090033130637811,Pension Fund City of Zurich (PKZH),,,,,,,,,,,,,,,,
BPL Pensioen,BBL-Annual-Report-2023,96,False,True,False,False,True,True,False,Dutch,Netherlands,23.0,0,1.0000000000000007,BPL Pensioen,UNPRI,General,CA100+,Climate change,,,,,,,,,,,,
West Yorkshire Pension Fund,WYPF-Annual-Report-2023,97,False,True,False,True,True,False,False,English,UK,22.0,0,0.9999999999999999,West Yorkshire Pension Fund,CA100+,Climate change,Institutional Investor Group on Climate Change,Climate,,,,,,,,,,,,
Lærernes Pension,Laerernes-Pension-Annual-Report-2023,98,True,True,False,False,False,False,False,Danish,Denmark,22.0,0,1.0,Lærernes Pension,Paris Aligned Asset Owners,Climate Change,Institutional Investor Group on Climate Change,Climate,,,,,,,,,,,,
P+ (Pension Fund for Academics),P-Plus-Annual-Report-2023,99,False,True,False,False,False,False,False,Danish,Denmark,21.0,0,1.0000000000000002,P+ Pension Fund for Academics,Asset Owner Alliance,Asset Owner Alliance,,,,,,,,,,,,,,
ENPAM,ENPAM-Annual-Report-2023,100,False,True,False,False,False,False,False,Italian,Italy,21.0,0,0.2283607203395132,DPAM,,,,,,,,,,,,,,,,
Shell UK,Shell-UK-Annual-Report-2023,101,False,False,False,False,False,False,False,English,UK,20.0,1,0.9148235675808366,Shell,TNFD Forum,Climate Change,,,,,,,,,,,,,,
Philips Pensioenfonds,Philips-Pensioenfonds-Annual-Report-2023,102,True,True,False,False,True,False,False,Dutch,Netherlands,20.0,0,0.8461672557762593,Stichting Philips Pensioenfonds,,,,,,,,,,,,,,,,
Credit Suisse Pensionskasse,Credit-Suisse-Pensionskasse-Annual-Report-2023,103,True,True,False,False,False,True,False,English,Switzerland,20.0,0,0.7675623006354071,Credit Suisse,,,,,,,,,,,,,,,,
Hoffmann La Roche,,104,,,,,,,,,Switzerland,20.0,0,0.24664440705700208,University of Rochester,,,,,,,,,,,,,,,,
SBB Pensionskasse,SBB-Pensionskasse-Annual-Report-2023,105,False,True,False,False,False,False,False,English,Switzerland,20.0,0,0.6615884752168149,APK Pensionskasse AG,,,,,,,,,,,,,,,,
PK Post,PK-Post-Annual-Report-2023,106,False,True,False,False,False,False,False,German,Switzerland,19.0,0,0.7111270474671441,An Post,,,,,,,,,,,,,,,,
National Treasury Management Agency,NTMA-Annual-Report-2023,107,True,True,False,False,True,False,False,English,Ireland,19.0,0,0.5103845255339541,NSW Treasury Corporation,,,,,,,,,,,,,,,,
Pensioenfonds Metaal OFP,Pensioenfonds-Metaal-OFP-2023,108,False,True,False,False,False,False,False,Dutch,Belgium,19.0,0,0.6858833536994259,Pensioenfonds Metaal en Techniek,,,,,,,,,,,,,,,,
TfL Pension,TfL-Annual-Report-2023,109,False,True,False,False,True,False,False,English,UK,18.0,0,0.48953036773608716,AP Pension,,,,,,,,,,,,,,,,
BBC Pension Scheme,BBC-Pension-Scheme-Annual-Report-2023,110,True,True,False,True,True,True,False,English,UK,18.0,0,0.7394144318806469,BT Pension Scheme,,,,,,,,,,,,,,,,
National Grid,Annual_Report_and_Accounts_2023_24_0,111,False,True,True,True,True,True,False,English,UK,18.0,0,1.0000000000000004,National Grid,TNFD Forum,Climate Change,,,,,,,,,,,,,,
Bernische Pensionskasse (Kanton Bern),BPK-Annual-Report-2023,112,False,True,False,False,True,False,False,German,Switzerland,17.0,0,0.654932041041082,Bernische Pensionskasse BPK Switzerland,,,,,,,,,,,,,,,,
CPEV - Caisse de Pension l'Etat de Vaud,CPEV-Annual-Report-2023,113,True,True,False,False,False,False,False,French,Switzerland,17.0,0,0.6930364048283263,Caisse de pensions de l'Etat de Vaud Switzerland,,,,,,,,,,,,,,,,
Laegernes Pensionskasse,LPB-Annual-Report-2023,114,False,True,False,False,True,True,False,Danish,Denmark,17.0,0,0.8341101572739907,Laegernes Pension,,,,,,,,,,,,,,,,
Pensionskasse Basel-Stadt,PKBS-Annual-Report-2023,115,True,True,False,False,True,False,False,German,Switzerland,17.0,0,1.0000000000000002,Pensionskasse Basel Stadt,CA100+,Climate change,Montreal Carbon Pledge,,,,,,,,,,,,,
Tesco Pensions Investment,Tesco-Annual-Report-2023,116,False,True,False,True,True,False,False,English,UK,16.0,0,0.6872503174707414,Tesco,,,,,,,,,,,,,,,,
Vasakronan,Vasakronan-Annual-Report-2023,117,False,False,False,True,True,False,False,English,Sweden,16.0,0,0.2750169978065216,Vasanda,,,,,,,,,,,,,,,,
Pension Fund for Early Childhood and Youth Educators (Paedagogernes Pension),PBU-Annual-Report-2023,118,False,True,False,False,True,False,False,Danish,Denmark,15.0,0,0.6572301575999046,PBU Pension Fund of Early Childhood Teachers and Educators,,,,,,,,,,,,,,,,
Univest Company (Unilever),Univest-Annual-Report-2023,119,False,False,False,True,False,False,False,English,UK,14.0,0,0.8797520290823619,Unilever Pension Funds (Univest Company),,,,,,,,,,,,,,,,
Monetary Authority of Singapore,MAS_Sustainability_Report_2023_2024,120,False,True,False,False,True,True,False,English,Singapore,5410.0,0,0.5730512424235445,Hong Kong Monetary Authority (HKMA),,,,,,,,,,,,,,,,
Government Pension Investment Fund,GPIF-Annual-Report-2023,121,True,True,False,False,True,False,False,English,Japan,1645.0,0,0.9999999999999997,Government Pension Investment Fund,CA100+,Climate change,,,,,,,,,,,,,,
China Investment Corporation,CIC-Annual-Report-2023,122,True,True,True,False,True,False,True,English,China,1333.0,0,0.660265144108479,Bank of China Limited,,,,,,,,,,,,,,,,
State Administration of Foreign Exchange,SAFE-Annual-report-2023,123,False,False,False,False,False,False,False,English,China,1098.0,1,0.4521781120299375,EFA (European Fund Administration),,,,,,,,,,,,,,,,
TIAA,TIAA-Annual-Report-2023,124,False,False,False,True,False,False,False,English,USA,1061.0,0,0.6193070100159925,"Nuveen, a TIAA Company",,,,,,,,,,,,,,,,
Abu Dhabi Investment Authority ,ADIA-Annual-Review-2023,125,True,True,True,False,True,False,False,English,UAE,968.0,0,0.5317304265533944,First Abu Dhabi Bank P.J.S.C.,,,,,,,,,,,,,,,,
Public Investment Fund/Sanabil Investments (PIF),,126,,,,,,,,,Saudi Arabia,925.0,0,0.5734362006310981,Public Investment Corporation (PIC),,,,,,,,,,,,,,,,
Kuwait Investment Authority,,127,,,,,,,,,Kuwait,923.0,0,0.48211887062181297,Kuwait Financial Centre,,,,,,,,,,,,,,,,
Pension Fund Association for Local Government Officials (Chikyoren),,128,,,,,,,,,Japan,922.0,0,0.4855457501968795,Pension Fund Association,,,,,,,,,,,,,,,,
Government of Singapore Investment Corporation,GIC-Annual-Report-2023,129,True,True,True,True,True,True,False,English,Singapore,880.0,0,0.5942550839507527,Government Pension Investment Fund,,,,,,,,,,,,,,,,
National Council for Society Security Fund,,130,,,,,,,,,China,846.0,0,0.3971642038458458,Kent County Council Pension Fund,,,,,,,,,,,,,,,,
Federal Retirement Thrift Investment Board,,131,,,,,,,,,USA,845.0,0,0.3758487569623409,Federal Finance,,,,,,,,,,,,,,,,
