company,sustainable_development_present,responsible_investment_esg_present,green_growth_present,net_zero_present,decarbonization_present,transition_finance_present,conservation_finance_present
ABN AMRO Pensioenfonds,False,False,False,False,False,False,False
Asga Pensionskasse,False,False,False,False,False,False,False
Schweizer Mobiliar Asset Management AG,False,False,False,False,False,False,False
British Airways Pension Investment Management Ltd (BAPIML),False,False,False,False,False,False,False
Bundes Pensionskasse,False,False,False,False,False,False,False
Kenfo (German Nuclear Waste Management Fund),False,False,False,False,False,False,False
Rabobank Pensioenfonds,False,True,False,True,False,False,False
West Midlands Metropolitan,False,False,False,False,False,False,False
AP Pension,False,True,False,True,True,True,False
FEFSS,False,False,False,False,False,False,False
KPA Pension (KPA Pensionsförsäkring),False,False,False,False,False,False,False
Pension Fund Rail & Public Transport,False,False,False,False,False,False,False
State Pension Fund of Finland (VER),False,False,False,False,False,False,False
Fonds de Compensation de la Sécurité Sociale,False,False,False,False,False,False,False
Local Pensions Partnership,False,True,False,True,False,False,False
Fonds de réserve pour les retraites (FRR),False,True,False,True,True,True,False
Caisse de prévoyance de l'Etat de Genève (CPEG),False,True,False,False,False,False,False
Akademiker Pension,False,False,False,True,False,False,False
Pensionskasse of the city of Zurich (PKZH),False,False,False,False,False,False,False
BPL Pensioen,False,True,False,True,False,False,False
West Yorkshire Pension Fund,False,False,False,True,True,True,False
Lærernes Pension,False,False,False,True,True,True,False
P+ (Pension Fund for Academics),False,False,False,True,True,False,False
ENPAM,False,False,False,False,False,False,False
Shell UK,False,False,False,False,False,False,True
Philips Pensioenfonds,False,False,False,False,False,False,False
Credit Suisse Pensionskasse,False,False,False,False,False,False,False
Hoffmann La Roche,False,False,False,False,False,False,False
SBB Pensionskasse,False,False,False,False,False,False,False
PK Post,False,False,False,False,False,False,False
National Treasury Management Agency,False,False,False,False,False,False,False
Pensioenfonds Metaal OFP,False,False,False,False,False,False,False
TfL Pension,False,False,False,False,False,False,False
BBC Pension Scheme,False,False,False,False,False,False,False
National Grid,False,False,False,False,False,False,True
Bernische Pensionskasse (Kanton Bern),False,False,False,False,False,False,False
CPEV - Caisse de Pension l'Etat de Vaud,False,False,False,False,False,False,False
Laegernes Pensionskasse,False,False,False,False,False,False,False
Pensionskasse Basel-Stadt,False,False,False,True,True,False,False
Tesco Pensions Investment,False,False,False,False,False,False,False
Vasakronan,False,False,False,False,False,False,False
Pension Fund for Early Childhood and Youth Educators (Paedagogernes Pension),False,False,False,False,False,False,False
Univest Company (Unilever),False,False,False,False,False,False,False
Monetary Authority of Singapore,False,False,False,False,False,False,False
Government Pension Investment Fund,False,False,False,True,False,False,False
China Investment Corporation,False,False,False,False,False,False,False
State Administration of Foreign Exchange,False,False,False,False,False,False,False
TIAA,False,False,False,False,False,False,False
Abu Dhabi Investment Authority ,False,False,False,False,False,False,False
Public Investment Fund/Sanabil Investments (PIF),False,False,False,False,False,False,False
Kuwait Investment Authority,False,False,False,False,False,False,False
Pension Fund Association for Local Government Officials (Chikyoren),False,False,False,False,False,False,False
Government of Singapore Investment Corporation,False,False,False,False,False,False,False
National Council for Society Security Fund,False,False,False,False,False,False,False
Federal Retirement Thrift Investment Board,False,False,False,False,False,False,False
Korea National Pension Service,False,False,False,False,False,False,False
Hong Kong Monetary Authority,False,False,False,False,False,False,False
Qatar Investment Authority,False,False,False,False,False,False,False
International Monetary Fund,False,False,False,False,False,False,True
California Public Employees Retirement System,False,True,False,False,False,True,False
Saudia Arabian Monetary Authority ,False,False,False,False,False,False,False
Canada Pension Plan Investment Board,False,False,False,False,False,False,False
Central Provident Fund ,False,False,False,False,False,False,False
Investment Corporation of Dubai,False,False,False,False,False,False,False
California State Teachers Retirement System,False,True,False,False,False,True,False
First Abu Dhabi Bank,False,True,False,True,False,False,False
Caisse de Depot et Placement du Quebec,False,True,False,True,True,True,False
Mubadala,False,False,False,False,False,False,False
Temasek holdings,False,False,False,False,False,False,False
NYC Office of the Comptroller,False,False,False,False,False,False,False
New York State Common Retirement Fund,False,True,False,True,False,False,False
Florida State Board of Administration,False,False,False,False,False,False,False
Employees Provident Fund,False,True,False,False,False,False,False
AustralianSuper,False,True,False,True,True,True,True
Teacher Retirement System of Texas,False,False,False,False,False,False,False
Washington State Investment Board,False,True,False,True,False,True,False
Australian Retirement Trust,False,True,False,True,False,False,False
Labor Pension Fund Taiwan,False,False,False,False,False,False,False
Abu Dhabi Developmental Holding,False,False,False,False,False,False,False
Future Fund,False,False,False,False,False,False,False
Public Sector Pension Investment Board,False,True,False,False,False,False,False
Korea Investment Corporation,False,True,False,False,False,False,False
Ontario Teachers' Pension Plan,True,False,False,True,True,True,False
British Columbia Investment Management Corporation,False,True,False,True,False,False,False
University of California Office of the Regents,False,False,False,False,False,False,False
Employee's Provident Fund Organisation India,False,False,False,False,False,False,False
North Carolina Retirement Systems,False,False,False,False,False,False,False
Texas Treasury Safekeeping Trust,False,False,False,False,False,False,False
Public Investment Corporation,False,False,False,False,False,False,False
National Wealth Fund,False,False,False,False,False,False,False
Minnesota State Board of Investment,False,True,False,True,False,True,False
New York State Teachers' Retirement Fund,False,False,False,False,False,False,False
State of Wisconsin Investment Board,False,False,False,False,False,False,False
National Development Fund (IRN),False,False,False,False,False,False,False
National Development Fund (SAU),False,False,False,False,False,False,False
Public Institute for Social Security,False,False,False,False,False,False,False
Pension Benefit Guaranty Corporation,False,False,False,False,False,False,False
Government Employees Pension Fund,False,False,False,False,False,False,False
Aware Super,False,True,False,True,False,False,False
AIMco,True,False,False,False,True,True,False
Ohio Public Employees Retirement System,False,False,False,False,False,False,False
New York City Teachers' Retirement System,False,True,False,False,False,False,False
Michigan State Retirement System,False,False,False,False,False,False,False
Teachers Retirement System of Georgia,False,False,False,False,False,False,False
Virgina Retirement System,False,False,False,False,False,False,False
Massachusetts PRIM,False,False,False,False,False,False,False
Tennessee Department of Treasury,False,False,False,False,False,False,False
Amitim,False,False,False,False,False,False,False
United Nations Joint Staff Pension Fund,False,True,False,False,False,True,False
Ontario Municipal Employees' Retirement System,False,False,False,False,False,False,False
State Teachers Retirement System of Ohio,False,False,False,False,False,False,False
Oregon Public Employees Retirement System,False,False,False,False,False,False,False
UniSuper,False,False,False,True,False,False,False
Kaiser Permanente,False,False,False,False,False,False,False
RTX,False,False,False,False,False,False,False
Raytheon Technologies Pension,False,False,False,False,False,False,False
Pension Fund Association,False,True,False,False,False,False,False
Retraite Quebec,False,False,False,False,False,False,False
Emirates Investment Authority ,False,False,False,False,False,False,False
RGA Reinsurance Company,False,False,False,False,False,False,False
World Bank,False,False,False,False,False,False,True
Healthcare of Ontario Pension Plan,False,False,False,False,False,False,False
Alaska Permanent Fund Corporation,False,False,False,False,False,False,False
New York City Employees Retirement System,False,True,False,False,False,True,False
Hostplus,False,True,False,False,False,False,False
Lockheed Martin Investment Company,False,False,False,False,False,False,False
Permodalan Nasional Berhad,False,False,False,False,False,False,False
New Jersey Investment Division,False,True,False,True,False,True,False
IBM (US) Retirement Fund,False,False,False,False,False,False,False
General Electric Pension,False,False,False,False,False,False,False
New South Wales Treasury Corporation,False,False,False,False,False,False,False
Los Angeles County Employees Retirement Assocation,False,False,False,False,False,False,False
QIC,False,True,False,True,False,False,False
GM pension,False,False,False,False,False,False,False
Pennsylvania Public School Employees' Retirement System,False,False,False,False,False,False,False
United Parcel Service Pension,False,False,False,False,False,False,False
Teachers' Retirement System of the State of Illinois,False,False,False,False,False,False,False
University Texas/Texas A&M Investment Company,False,False,False,False,False,False,False
Samruk-Kazyna,False,False,False,False,False,False,False
Maryland State Retirement,False,False,False,False,False,False,False
Afore XXI Banorte,False,True,False,True,False,False,False
Libyan Investment Authority,False,False,False,False,False,False,False
Tennessee Consolidated Retirement System,False,False,False,False,False,False,False
Nevada Public Employees' Retirement,False,False,False,False,False,False,False
Cbus Super,False,False,False,False,False,False,False
Afore Profuturo GNP,False,False,False,False,False,False,False
Lilly Endowment,False,False,False,False,False,False,False
Northrop Grumman,False,False,False,False,False,False,False
Coloroda Public Employees Retirement,False,False,False,False,False,False,False
AMP,False,True,False,False,False,False,False
Brunei Investment Agency,False,False,False,False,False,False,False
HESTA Super Fund,False,True,False,False,False,False,False
UAW Retiree Medical Benefits Trust,False,True,False,False,False,True,False
Insignia Financial,False,False,False,False,False,False,False
REST Super,False,False,False,False,False,False,False
Cascade Investments,False,False,False,False,False,False,False
Texas Permanent School Fund,False,False,False,False,False,False,False
Victorian Funds Management Corporation,False,True,False,True,False,False,False
State Oil Fund of Azerbaijan,False,False,False,False,False,False,False
Investment Management Corporation of Ontario,False,True,False,True,False,True,False
Western Conference of Teamsters Pension Trust,False,False,False,False,False,False,False
Afore Citibanamex,False,True,False,False,False,False,False
Ford Motor Company Pension Fund,False,False,False,False,False,False,False
Sura Afore,False,True,False,True,False,False,False
Wells Fargo Retirement Plan,False,False,False,False,False,False,False
NYC Police Pension Fund,False,False,False,False,False,False,False
Illinois Municipal Retirement Fund,False,False,False,False,False,False,False
JP Morgan Chase,False,False,False,False,False,False,False
Arizona State Retirement System,False,False,False,False,False,False,False
AFP Habitat SA,False,False,False,False,False,False,False
Harvard Management Company (Harvard University Investment),False,False,False,False,False,False,False
Public School and Education Employee Retirement Systems of Missouri,False,False,False,False,False,False,False
Exelon Corporation Pension Plan,False,False,False,False,False,False,False
National Federation of Mutual Aid Associations for Municipal Personnel (Shichousonren),False,False,False,False,False,False,False
New Mexico State Investment Council,False,False,False,False,False,False,False
Office of the Treasurer of the State of Connecticut,False,True,False,False,False,True,False
Connecticut Retirement Plans and Trust Funds,False,False,False,False,False,False,False
FedEx Pension,False,False,False,False,False,False,False
Boeing Employee Retirement Plan,False,False,False,False,False,False,False
State Farm Pension,False,False,False,False,False,False,False
Retirement Systems of Alabama,False,False,False,False,False,False,False
Mastercard Foundation Asset Management,False,False,False,False,False,False,False
Indiana Public Employees Retirement,False,False,False,False,False,False,False
Texas County and District Retirement System,False,False,False,False,False,False,False
New Zealand Superannuation,False,True,False,True,False,False,False
Local Authorities Pension Plan Alberta,False,False,False,False,False,False,False
Verizon Investment Management,False,False,False,False,False,False,False
Public School Employees,False,False,False,False,False,False,False
Iowa Public Employees Retirement System,False,False,False,False,False,False,False
Stanford Management Company,False,False,False,False,False,False,False
Microsoft,False,False,False,False,False,False,False
Texas Municipal Retirement System,False,False,False,False,False,False,False
Minnesota Public Employees Retirement Association,False,False,False,False,False,False,False
AFP Provida,False,True,False,False,False,False,False
Nebraska Investment Council,False,False,False,False,False,False,False
Yale University Investment Office ,False,False,False,False,False,False,False
South Carolina Retirement System Investment Commission,False,False,False,False,False,False,False
CommonSpirit Health,False,False,False,False,False,False,False
Employees Retirement System of Texas,False,False,False,False,False,False,False
Retirement Fund KWAP,False,True,False,False,False,False,False
AFP Proteccion,False,True,False,False,False,False,False
Nokia USA,False,False,False,False,False,False,False
Commonwealth Superannuation Corporation,False,False,False,False,True,False,False
AFP Capital,False,True,False,False,False,False,False
Pennsylvania State Employees' Retirement System,False,False,False,False,False,False,False
Utah Retirement Systems,False,False,False,False,False,False,False
Social Insurance Funds,False,False,False,False,False,False,False
Public Employees' Retirement System of Mississippi,False,False,False,False,False,False,False
Massachusetts Teachers' Retirement System,False,False,False,False,False,False,False
Japan Post Bank,False,False,False,False,True,False,True
Exxon Mobil Pension Fund,False,False,False,False,False,False,False
AFP Cuprum,False,True,False,False,False,False,False
New York State Deferred Compensation Plan,False,False,False,False,False,False,False
Princeton University Investment Company,False,False,False,False,False,False,False
Korea Investment Management,False,True,False,False,False,False,False
Alaska Retirement Management Board,False,False,False,False,False,False,False
San Francisco City & County,False,False,False,False,False,False,False
San Francisco Employees' Retirement System,False,True,False,True,False,True,False
Ontario Power Generation,False,False,False,False,False,False,False
Illinois State Board of Investment,False,False,False,False,False,False,False
Los Angeles Fire and Police Pension Fund,False,False,False,False,False,False,False
Chevron Corporation Pension Fund,False,False,False,False,False,False,False
Wyoming State Treasurer's Office,False,False,False,False,False,False,False
Honeywell Pension,False,False,False,False,False,False,False
CVS Health,False,False,False,False,False,False,False
BC Public Sector Pension Plans,False,False,False,False,False,False,False
Commonfund,False,True,False,False,False,False,False
Funds SA,False,True,False,False,False,False,False
Pfizer Pension Fund,False,False,False,False,False,False,False
QBE Insurance Group,False,True,False,True,False,False,False
Procter & Gamble Pension Fund,False,False,False,False,False,False,False
Togethr Super (Equip & Catholic Super),False,False,False,False,False,False,False
AT&T Retirement Fund,False,False,False,False,False,False,False
Government Service Insurance System,False,False,False,False,False,False,False
State Universities Retirement System of Illinois,False,False,False,False,False,False,False
Montana Board of Investment,False,False,False,False,False,False,False
Accident Compensation Corporation,False,True,False,True,False,False,False
Malaysia Khazanah Nasional,False,False,False,False,False,False,False
DUMAC (Duke University Investment),False,False,False,False,False,False,False
United Airlines Holdings,False,False,False,False,False,False,False
B.C. Teachers Pension Plan,False,False,False,False,False,False,False
Walt Disney Pension,False,False,False,False,False,False,False
Kentycky Teachers' Retirement System,False,False,False,False,False,False,False
Super SA,False,False,False,False,False,False,False
Government Employees Super Board,False,False,False,False,False,False,False
Teachers' Retirement System of Louisiana,False,False,False,False,False,False,False
West Virginia Public Employees' Retirement System,False,False,False,False,False,False,False
SUNY,False,False,False,False,False,False,False
Wespath Benefits,False,False,False,False,False,False,False
Kansas Public Employees Retirement System,False,False,False,False,False,False,False
Public Service Pension Fund of Taiwan,False,False,False,False,False,False,False
State Super (SAS Trustee),False,False,False,False,False,False,False
Porvenir,False,True,False,False,False,False,False
PepsiCo Pension,False,False,False,False,False,False,False
Massachusetts institute of Technology Investment Management Company (MITIMCo),False,False,False,False,False,False,False
National Railroad Retirement NRRIT,False,False,False,False,False,False,False
Emergency Services & State Super (ESSSuper),False,False,False,False,False,False,False
PG&E,False,False,False,False,False,False,False
Public Employee Retirement System of Idaho (PERSI),False,False,False,False,False,False,False
Employees' Retirement System of Georgia,False,False,False,False,False,False,False
Los Angeles City Employees Retirement LACERS,False,True,False,False,False,False,False
Petros Pension,False,False,False,False,False,False,False
Employees' Retirement System of State of Hawaii,False,True,False,True,False,False,False
Oklahoma Teachers Retirement System,False,False,False,False,False,False,False
Ontario Pension Board,False,True,False,False,False,False,False
Hydro-Quebec,False,False,False,False,False,False,False
Air Canada,False,False,False,False,False,False,False
Prudential Financial,False,False,False,False,False,False,False
Canada Post Pension,False,False,False,False,False,False,False
Arkansas Teacher Retirement System,False,False,False,False,False,False,False
Orange County Employees Retirement System,False,False,False,False,False,False,False
Truist Financial,False,False,False,False,True,False,False
Ohio Bureau of Workers Compensation,False,False,False,False,False,False,False
Johnson & Johnson Pension Plan,False,False,False,False,False,False,False
University of Pennsylvania Investment Office,False,False,False,False,False,False,False
Quebec Construction Industry,False,False,False,False,False,False,False
Howard Hughes Medical Institute,False,False,False,False,False,False,False
Los Angeles Water and Power Employees Retirement Plan,False,False,False,False,False,False,False
Bell Canada,False,False,False,False,False,False,False
South Dokato Investment Council,False,False,False,False,False,False,False
Merck & Co Inc Pension Fund,False,False,False,False,False,False,False
The Korea Teachers Pension,False,False,False,False,False,False,False
Brighter Super,False,False,False,False,False,False,False
Spirit Super (MTAA & Tasplan),False,False,False,False,False,False,False
North Dakota State Investment Board,False,False,False,False,False,False,False
Maine Public Employees Retirement System,False,True,False,False,False,True,False
Dow Chemical Pension,False,False,False,False,False,False,False
University of Michigan Investment Office,False,False,False,False,False,False,False
School Employees Retirement System of Ohio,False,False,False,False,False,False,False
University of Notre Dame Endownment,False,False,False,False,False,False,False
Ohio Police and Fire Pension Fund,False,False,False,False,False,False,False
FCA US,False,False,False,False,False,False,False
The Federal Economists Foundation,False,False,False,False,False,False,False
OPSEU pension Trust,False,False,False,False,False,False,False
San Diego County Employees Retirement Association,False,False,False,False,False,False,False
National Electric Benefit Fund,False,False,False,False,False,False,False
Bank of America Pension Fund,False,False,False,False,False,False,False
Church Pension Fund US,False,True,False,False,False,False,False
Public Employees Retirement Association of New Mexico,False,False,False,False,False,False,False
New Mexico Educational Retirement Board,False,False,False,False,False,False,False
Alberta Teachers' Retirement Fund,False,False,False,False,False,False,False
General Dynamics Pension Fund,False,False,False,False,False,False,False
Louisiana State Employees' Retirement System,False,False,False,False,False,False,False
Eli Lilly,False,False,False,False,False,False,False
Delta Airlines Pension Fund,False,False,False,False,False,False,False
International Paper Pension,False,False,False,False,False,False,False
Consolidated Edison,False,False,False,False,False,False,False
San Bernandino County Employees Retirement Association,False,False,False,False,False,False,False
Columbia Investment Management Company,False,False,False,False,False,False,False
Southern Co,False,False,False,False,False,False,False
Government Pension Fund Global,False,False,False,False,False,False,False
University of Virginia Investment Management Company,False,True,False,False,False,True,False
3M,False,False,False,False,False,False,False
Northwestern University Investment Office,False,False,False,False,False,False,False
Public Service Pension Plan Canada,False,False,False,False,False,False,False
Sacramento County Employees Retirement System,False,False,False,False,False,False,False
Oslo Pensjonsforsikring OPF,False,False,False,False,False,False,False
Banco Santander UK,False,False,False,False,True,False,True
Kapan Tjanstepensionsforening (Government Employees Pension Fund),False,False,False,False,False,False,False
APK Aargauische Pensionskasse,False,False,False,True,False,False,False
EPPF,False,False,False,False,False,False,False
Lífeyrissjóður verzlunarmanna,False,False,False,False,False,False,False
Washington University Investment Management Company,False,False,False,False,False,False,False
Alameda County Employees' Retirement Association,False,False,False,False,False,False,False
